nozzle_temp_c,print_speed_mm_s,layer_height_mm,cooling_fan_pct,retraction_mm,print_quality
236.6,87.5,0.103,37.4,7.33,0.5913
239.7,25.6,0.336,71.7,1.38,0.6513
187.5,77.3,0.158,42.9,5.05,0.7149
188.4,75.6,0.251,86.5,5.66,0.7196
209.4,119.1,0.107,82.1,5.71,0.3402
230.3,86.4,0.219,19.9,2.62,0.6229
226.3,35.7,0.121,49.0,3.85,0.8729
245.8,38.7,0.313,96.8,6.52,0.6121
175.4,86.9,0.357,59.1,4.73,0.523
209.3,101.6,0.384,88.1,7.15,0.5458
197.1,104.9,0.356,15.7,1.6,0.4395
218.2,92.9,0.36,53.5,7.0,0.6308
173.4,98.7,0.324,66.2,7.27,0.354
197.2,55.5,0.205,53.7,6.92,0.8756
176.5,107.9,0.39,39.8,4.97,0.3044
247.7,116.8,0.241,48.6,3.23,0.1859
217.1,92.7,0.149,38.5,7.53,0.6983
210.6,111.3,0.277,15.8,5.73,0.4227
248.5,60.4,0.216,70.2,5.75,0.6612
199.6,25.3,0.195,93.3,6.1,0.7972
204.5,77.3,0.316,23.5,4.82,0.754
211.8,111.9,0.169,69.8,4.17,0.5017
174.6,104.6,0.218,22.2,5.66,0.3331
171.9,47.5,0.214,48.0,4.54,0.6961
194.6,57.6,0.172,67.6,7.19,0.8228
217.1,50.5,0.36,84.5,5.94,0.832
216.6,87.1,0.145,20.9,4.04,0.665
184.2,67.7,0.286,25.8,5.92,0.7039
194.9,20.1,0.275,9.2,6.51,0.6453
231.6,55.1,0.193,46.0,6.78,0.8201
196.7,101.8,0.183,91.3,2.72,0.5538
207.1,63.7,0.339,43.2,1.91,0.8857
196.0,26.2,0.244,36.5,6.86,0.7873
237.2,39.5,0.267,66.9,4.07,0.7577
195.1,61.5,0.167,49.8,5.47,0.8456
217.6,77.8,0.382,49.2,5.49,0.7445
191.7,116.2,0.199,58.7,1.07,0.4104
232.0,47.3,0.251,44.8,1.76,0.8585
217.7,117.3,0.274,85.9,1.1,0.4124
175.0,99.8,0.386,89.5,7.04,0.333
228.7,60.4,0.331,92.7,4.04,0.7481
238.8,57.3,0.374,82.1,2.17,0.673
229.2,100.7,0.121,58.1,2.58,0.5744
183.6,58.0,0.26,19.4,5.83,0.7162
209.4,115.6,0.316,36.8,1.92,0.4264
248.2,38.1,0.245,98.8,4.5,0.6439
236.8,55.3,0.249,67.4,5.15,0.7821
235.6,62.9,0.119,72.9,5.84,0.7172
173.8,108.3,0.12,99.1,6.91,0.2517
181.0,70.4,0.293,30.2,6.88,0.6386
222.8,106.2,0.136,46.3,4.5,0.5724
192.7,87.2,0.144,67.8,4.9,0.7024
184.8,87.5,0.352,61.2,3.92,0.6228
220.2,93.0,0.324,41.5,1.92,0.6753
246.6,26.8,0.27,14.7,6.59,0.5587
193.1,40.2,0.191,15.1,1.77,0.8059
