charge_pump_ua,loop_bw_khz,phase_margin_deg,vco_gain_mhz_v,ref_freq_mhz,lock_time_us
188.9,475.6,30.0,759.6,11.2,19.02
400.5,123.3,54.2,752.8,40.6,52.51
75.8,387.5,40.4,493.0,52.1,29.63
149.6,345.8,57.5,243.9,45.6,5.41
158.5,256.3,72.1,152.3,13.9,16.58
449.2,405.7,56.1,754.5,73.9,78.83
362.0,451.8,50.5,722.9,28.6,32.7
449.0,21.2,45.2,392.8,29.7,120.51
442.2,311.9,69.0,340.9,70.3,65.29
237.9,413.4,65.2,468.8,85.2,5.0
415.9,483.0,49.1,759.4,72.9,60.19
239.7,197.7,47.0,580.0,91.0,5.0
303.9,128.5,68.9,354.5,81.1,19.02
100.4,47.1,51.4,475.6,59.7,25.7
379.6,123.0,71.7,758.1,36.5,43.81
60.1,11.6,51.4,486.1,63.8,113.79
68.8,471.8,69.8,504.0,72.7,25.87
65.2,234.7,36.6,791.8,22.6,20.66
141.2,498.6,51.8,722.3,75.3,5.0
196.4,498.7,72.9,524.7,28.0,11.68
109.7,285.9,44.4,513.7,73.6,13.7
386.6,170.2,55.0,579.4,81.7,37.95
135.0,152.6,55.4,576.2,81.3,14.48
485.7,215.8,61.0,549.3,17.3,90.19
343.0,208.0,58.3,763.7,20.6,26.39
131.2,286.5,56.6,337.3,29.4,9.31
262.8,209.3,69.6,263.4,91.1,24.02
189.6,188.2,42.3,734.0,53.5,14.82
173.0,493.0,39.9,370.4,59.3,6.45
214.8,303.8,40.4,413.8,11.8,5.0
190.1,254.4,65.1,713.0,77.4,5.0
317.7,462.9,34.3,484.0,40.5,27.15
340.9,83.9,64.1,404.2,18.3,35.45
333.7,360.5,49.3,287.6,65.2,16.07
318.2,229.3,72.0,500.0,21.8,23.44
195.8,231.3,60.3,519.0,73.9,5.0
266.5,301.1,59.0,281.2,87.6,22.39
105.6,386.0,54.4,470.2,60.5,20.75
240.1,168.9,66.5,184.5,60.6,12.64
416.2,197.1,61.3,744.6,96.3,59.25
463.1,127.4,49.7,305.7,89.0,81.29
478.7,323.4,69.0,418.9,74.9,85.14
324.2,342.2,54.6,370.3,66.9,17.33
253.0,377.7,50.4,386.4,36.2,11.11
170.7,76.6,68.1,407.0,56.5,14.7
307.4,156.6,55.5,101.0,31.0,23.79
56.8,359.9,53.4,736.3,98.0,32.93
196.9,219.3,36.2,373.0,64.1,13.32
483.1,428.2,52.6,218.2,89.1,84.59
400.3,432.9,53.0,784.5,86.8,39.17
316.7,483.2,71.8,328.1,46.9,12.72
445.5,149.6,40.8,797.1,44.6,76.2
395.7,368.6,75.4,775.4,59.0,53.9
350.7,321.4,58.3,142.3,94.2,23.55
442.0,27.4,72.9,381.3,71.5,97.28
